accelZ,Date
-0.55,21-08-2023 23:25:30.652
0,21-08-2023 23:25:30.840
-0.2,21-08-2023 23:25:31.023
-0.08,21-08-2023 23:25:31.208
-0.66,21-08-2023 23:25:31.389
0.33,21-08-2023 23:25:31.575
-0.03,21-08-2023 23:25:31.756
-3.34,21-08-2023 23:25:31.940
7.96,21-08-2023 23:25:32.122
-1.93,21-08-2023 23:25:32.307
-0.03,21-08-2023 23:25:32.489
0.05,21-08-2023 23:25:32.676
0.07,21-08-2023 23:25:32.858
0.2,21-08-2023 23:25:33.036
-0.03,21-08-2023 23:25:33.229
-0.02,21-08-2023 23:25:33.405
-0.02,21-08-2023 23:25:33.588
-0.02,21-08-2023 23:25:33.772
-0.02,21-08-2023 23:25:33.954
-0.02,21-08-2023 23:25:34.140
-0.02,21-08-2023 23:25:34.322
-0.02,21-08-2023 23:25:34.504
-0.01,21-08-2023 23:25:34.685
-0.02,21-08-2023 23:25:34.875
-0.02,21-08-2023 23:25:35.054
-0.01,21-08-2023 23:25:35.239
-0.02,21-08-2023 23:25:35.425
0,21-08-2023 23:25:35.604
-0.02,21-08-2023 23:25:35.791
-0.02,21-08-2023 23:25:35.972
-0.02,21-08-2023 23:25:36.156
-0.02,21-08-2023 23:25:36.338
-0.02,21-08-2023 23:25:36.525
-0.02,21-08-2023 23:25:36.707
-0.02,21-08-2023 23:25:36.890
-0.01,21-08-2023 23:25:37.071
-0.02,21-08-2023 23:25:37.255
-0.02,21-08-2023 23:25:37.438
-0.01,21-08-2023 23:25:37.624
-0.02,21-08-2023 23:25:37.812
-0.02,21-08-2023 23:25:37.987
-0.15,21-08-2023 23:25:38.174
-0.01,21-08-2023 23:25:38.354
0.02,21-08-2023 23:25:38.538
-0.11,21-08-2023 23:25:38.723
-0.25,21-08-2023 23:25:38.909
-0.22,21-08-2023 23:25:39.088
-0.09,21-08-2023 23:25:39.272
-0.02,21-08-2023 23:25:39.457
-0.13,21-08-2023 23:25:39.638
0.05,21-08-2023 23:25:39.828
-0.2,21-08-2023 23:25:40.009
-0.09,21-08-2023 23:25:40.188
-0.07,21-08-2023 23:25:40.373
-0.1,21-08-2023 23:25:40.556
0.11,21-08-2023 23:25:40.740
0.76,21-08-2023 23:25:40.921
-0.25,21-08-2023 23:25:41.105
-0.06,21-08-2023 23:25:41.291
-0.1,21-08-2023 23:25:41.475
-0.11,21-08-2023 23:25:41.654
-0.45,21-08-2023 23:25:41.843
0.1,21-08-2023 23:25:42.022
-0.19,21-08-2023 23:25:42.208
-0.01,21-08-2023 23:25:42.387
-0.04,21-08-2023 23:25:42.576
-0.02,21-08-2023 23:25:42.759
0.12,21-08-2023 23:25:42.942
-0.21,21-08-2023 23:25:43.119
-0.02,21-08-2023 23:25:43.304
-0.02,21-08-2023 23:25:43.486
-0.01,21-08-2023 23:25:43.677
0.02,21-08-2023 23:25:43.855
-0.08,21-08-2023 23:25:44.039
0.01,21-08-2023 23:25:44.223
-0.01,21-08-2023 23:25:44.423
-0.11,21-08-2023 23:25:44.590
-0.09,21-08-2023 23:25:44.769
-5.2,21-08-2023 23:25:44.956
6.22,21-08-2023 23:25:45.139
-0.36,21-08-2023 23:25:45.320
-1.84,21-08-2023 23:25:45.506
0.23,21-08-2023 23:25:45.703
-0.17,21-08-2023 23:25:45.894
-0.3,21-08-2023 23:25:46.055
-0.06,21-08-2023 23:25:46.238
-0.04,21-08-2023 23:25:46.427
-0.02,21-08-2023 23:25:46.604
-0.01,21-08-2023 23:25:46.790
-0.02,21-08-2023 23:25:46.999
-0.02,21-08-2023 23:25:47.153
-0.02,21-08-2023 23:25:47.338
-0.03,21-08-2023 23:25:47.523
-0.03,21-08-2023 23:25:47.705
-0.02,21-08-2023 23:25:47.890
-0.03,21-08-2023 23:25:48.073
0.19,21-08-2023 23:25:48.268
-0.01,21-08-2023 23:25:48.439
-0.02,21-08-2023 23:25:48.621
-0.01,21-08-2023 23:25:48.807
0.02,21-08-2023 23:25:48.993
-0.04,21-08-2023 23:25:49.173
-0.04,21-08-2023 23:25:49.357
-0.02,21-08-2023 23:25:49.542
0.03,21-08-2023 23:25:49.720
-0.02,21-08-2023 23:25:49.905
-0.01,21-08-2023 23:25:50.089
-0.07,21-08-2023 23:25:50.276
-0.02,21-08-2023 23:25:50.457
