x,y,z,Date
-1.49,-0.39,360.00,22-08-2023 14:27:13.968
-1.46,-0.51,0.00,22-08-2023 14:27:14.082
-1.36,1.44,359.99,22-08-2023 14:27:14.272
-1.45,0.03,359.62,22-08-2023 14:27:14.449
-1.40,-0.16,359.60,22-08-2023 14:27:14.635
-1.50,-0.67,359.62,22-08-2023 14:27:14.821
-1.34,-17.87,358.54,22-08-2023 14:27:15.003
-0.47,-26.92,357.59,22-08-2023 14:27:15.184
6.40,-8.25,354.77,22-08-2023 14:27:15.369
9.41,8.12,349.42,22-08-2023 14:27:15.576
6.22,15.83,346.58,22-08-2023 14:27:15.736
-3.12,6.05,346.89,22-08-2023 14:27:15.947
-5.50,-5.92,347.64,22-08-2023 14:27:16.119
-3.37,-15.31,346.75,22-08-2023 14:27:16.284
4.97,1.08,345.57,22-08-2023 14:27:16.466
6.84,15.91,341.27,22-08-2023 14:27:16.648
3.58,12.88,343.61,22-08-2023 14:27:16.925
-1.71,-12.96,346.40,22-08-2023 14:27:17.021
-3.09,-23.15,347.62,22-08-2023 14:27:17.196
1.89,2.30,345.15,22-08-2023 14:27:17.386
5.08,17.50,343.84,22-08-2023 14:27:17.593
2.08,-3.47,347.78,22-08-2023 14:27:17.776
-2.37,-13.65,348.60,22-08-2023 14:27:17.930
-2.19,-2.02,347.04,22-08-2023 14:27:18.129
-0.86,10.76,344.65,22-08-2023 14:27:18.299
1.16,15.07,344.14,22-08-2023 14:27:18.486
-0.40,-12.58,346.77,22-08-2023 14:27:18.666
0.43,-15.14,347.87,22-08-2023 14:27:18.852
-1.10,1.06,347.30,22-08-2023 14:27:19.036
-0.94,0.25,349.52,22-08-2023 14:27:19.217
-0.98,0.28,350.90,22-08-2023 14:27:19.418
-0.86,-0.07,351.20,22-08-2023 14:27:19.583
-0.87,-0.10,351.20,22-08-2023 14:27:19.764
-0.60,0.30,351.19,22-08-2023 14:27:19.958
0.97,2.71,359.79,22-08-2023 18:05:32.255
0.68,3.93,359.56,22-08-2023 18:05:32.258
0.60,3.49,359.38,22-08-2023 18:05:32.259
0.93,1.69,359.25,22-08-2023 18:05:32.260
1.30,0.39,359.00,22-08-2023 18:05:32.260
1.27,1.08,358.60,22-08-2023 18:05:32.457
0.88,2.89,358.24,22-08-2023 18:05:32.457
0.64,3.48,357.97,22-08-2023 18:05:32.457
0.49,2.47,357.74,22-08-2023 18:05:33.829
0.38,2.05,357.58,22-08-2023 18:05:33.830
0.93,2.87,357.44,22-08-2023 18:05:33.830
1.76,1.99,357.12,22-08-2023 18:05:33.830
1.85,-0.10,356.70,22-08-2023 18:05:33.830
0.86,0.74,356.37,22-08-2023 18:05:33.831
0.07,4.61,356.15,22-08-2023 18:05:33.831
0.26,6.03,356.04,22-08-2023 18:05:34.154
1.07,1.94,355.94,22-08-2023 18:05:34.154
1.66,-1.58,355.56,22-08-2023 18:05:34.302
1.36,0.56,355.23,22-08-2023 18:05:34.302
0.74,4.35,355.03,22-08-2023 18:05:34.405
0.59,4.58,354.95,22-08-2023 18:05:34.546
0.96,1.39,354.89,22-08-2023 18:05:34.740
0.99,-0.05,354.78,22-08-2023 18:05:34.941
0.68,2.48,354.69,22-08-2023 18:05:35.087
1.01,4.62,354.59,22-08-2023 18:05:35.295
1.43,2.53,354.51,22-08-2023 18:05:35.462
1.26,-0.08,354.33,22-08-2023 18:05:35.656
0.66,1.41,354.25,22-08-2023 18:05:35.806
0.44,4.20,354.16,22-08-2023 18:05:36.010
0.76,4.41,354.09,22-08-2023 18:05:36.360
1.02,1.81,354.09,22-08-2023 18:05:36.405
1.38,0.11,353.96,22-08-2023 18:05:36.693
1.57,1.04,353.63,22-08-2023 18:05:42.551
1.09,3.30,353.33,22-08-2023 18:05:42.552
0.31,4.34,353.18,22-08-2023 18:05:42.553
0.09,2.88,353.27,22-08-2023 18:05:42.553
0.73,0.98,353.32,22-08-2023 18:05:42.553
1.47,1.28,353.16,22-08-2023 18:05:42.586
1.52,2.78,352.99,22-08-2023 18:05:42.587
0.92,2.91,352.88,22-08-2023 18:05:42.587
0.44,2.04,352.84,22-08-2023 18:05:42.587
0.54,2.16,352.84,22-08-2023 18:05:42.587
0.89,2.85,352.86,22-08-2023 18:05:42.588
0.98,2.77,352.86,22-08-2023 18:05:42.588
1.04,1.90,352.87,22-08-2023 18:05:42.849
1.25,1.41,352.87,22-08-2023 18:05:42.849
1.23,2.11,352.83,22-08-2023 18:05:42.849
0.66,3.47,352.92,22-08-2023 18:05:42.849
0.22,3.35,353.08,22-08-2023 18:05:42.850
0.53,2.32,353.21,22-08-2023 18:05:42.850
1.26,1.93,353.29,22-08-2023 18:05:42.850
1.33,2.00,353.36,22-08-2023 18:05:42.854
0.89,2.10,353.38,22-08-2023 18:05:42.854
0.77,2.37,353.25,22-08-2023 18:05:42.854
0.93,2.24,353.07,22-08-2023 18:05:42.854
0.82,2.16,353.10,22-08-2023 18:05:42.855
0.68,2.73,353.21,22-08-2023 18:05:42.855
0.78,2.77,353.19,22-08-2023 18:05:42.855
1.08,1.83,353.02,22-08-2023 18:05:42.855
1.34,1.74,352.87,22-08-2023 18:05:42.855
0.98,2.83,352.83,22-08-2023 18:05:42.855
0.38,2.99,352.86,22-08-2023 18:05:42.855
0.27,2.31,352.93,22-08-2023 18:05:42.855
0.85,2.31,352.93,22-08-2023 18:05:42.855
1.15,2.79,353.47,22-08-2023 18:05:42.855
0.82,2.32,354.65,22-08-2023 18:05:42.855
0.52,1.01,355.77,22-08-2023 18:05:43.031
0.51,1.14,356.66,22-08-2023 18:05:43.129
0.59,3.05,357.64,22-08-2023 18:05:43.390
0.57,3.59,358.74,22-08-2023 18:05:43.533
0.65,2.14,359.70,22-08-2023 18:05:43.697
0.85,1.28,0.47,22-08-2023 18:05:43.883
1.11,1.68,1.13,22-08-2023 18:05:44.046
1.08,2.05,1.73,22-08-2023 18:05:44.260
0.35,2.56,2.47,22-08-2023 18:05:44.414
-0.12,3.84,3.29,22-08-2023 18:05:44.601
0.52,3.19,3.91,22-08-2023 18:05:45.403
1.47,0.16,4.33,22-08-2023 18:05:45.404
1.53,-0.26,4.74,22-08-2023 18:05:45.586
