accelZ,Date
-0.14,23-08-2023 13:47:23.020
0.09,23-08-2023 13:47:23.136
0,23-08-2023 13:47:23.519
-0.1,23-08-2023 13:47:23.520
0.16,23-08-2023 13:47:23.614
-0.16,23-08-2023 13:47:23.806
-0.3,23-08-2023 13:47:23.991
-0.02,23-08-2023 13:47:24.164
0.13,23-08-2023 13:47:24.361
-0.21,23-08-2023 13:47:24.534
-0.02,23-08-2023 13:47:24.727
-0.03,23-08-2023 13:47:24.899
-0.17,23-08-2023 13:47:25.081
-0.34,23-08-2023 13:47:25.266
-0.08,23-08-2023 13:47:25.449
-0.08,23-08-2023 13:47:25.633
-0.25,23-08-2023 13:47:25.813
0.06,23-08-2023 13:47:25.996
0.09,23-08-2023 13:47:26.183
0.06,23-08-2023 13:47:26.368
-0.21,23-08-2023 13:47:26.548
-0.22,23-08-2023 13:47:26.739
-0.08,23-08-2023 13:47:27.001
-0.27,23-08-2023 13:47:27.102
-0.15,23-08-2023 13:47:27.279
0.05,23-08-2023 13:47:27.466
0.07,23-08-2023 13:47:27.759
0.01,23-08-2023 13:47:27.830
0.14,23-08-2023 13:47:28.011
-0.2,23-08-2023 13:47:28.193
-0.24,23-08-2023 13:47:28.393
-0.08,23-08-2023 13:47:28.567
-0.13,23-08-2023 13:47:28.751
-0.03,23-08-2023 13:47:28.929
0.04,23-08-2023 13:47:29.102
0.08,23-08-2023 13:47:29.298
-0.24,23-08-2023 13:47:29.488
-0.22,23-08-2023 13:47:29.666
0.11,23-08-2023 13:47:29.871
-0.17,23-08-2023 13:47:30.029
-0.09,23-08-2023 13:47:30.215
0.17,23-08-2023 13:47:30.476
-0.2,23-08-2023 13:47:30.583
-0.37,23-08-2023 13:47:30.768
0.03,23-08-2023 13:47:30.952
-0.19,23-08-2023 13:47:31.509
-0.44,23-08-2023 13:47:31.510
0.25,23-08-2023 13:47:31.576
0.09,23-08-2023 13:47:31.695
-0.23,23-08-2023 13:47:31.895
-0.17,23-08-2023 13:47:32.092
0.2,23-08-2023 13:47:32.867
-0.04,23-08-2023 13:47:32.868
-0.14,23-08-2023 13:47:32.868
-0.01,23-08-2023 13:47:32.868
-0.04,23-08-2023 13:47:32.955
-0.31,23-08-2023 13:47:33.158
-0.25,23-08-2023 13:47:33.319
0.03,23-08-2023 13:47:33.762
0.1,23-08-2023 13:47:33.763
-0.07,23-08-2023 13:47:33.903
-0.07,23-08-2023 13:47:34.072
0.06,23-08-2023 13:47:34.250
-0.02,23-08-2023 13:47:34.440
-0.08,23-08-2023 13:47:34.630
-0.25,23-08-2023 13:47:34.794
-0.15,23-08-2023 13:47:34.981
-0.11,23-08-2023 13:47:35.394
-0.21,23-08-2023 13:47:35.395
-0.19,23-08-2023 13:47:35.536
0.08,23-08-2023 13:47:35.714
0.05,23-08-2023 13:47:35.896
-0.2,23-08-2023 13:47:36.200
-0.03,23-08-2023 13:47:36.263
0.06,23-08-2023 13:47:36.434
-0.07,23-08-2023 13:47:36.631
0,23-08-2023 13:47:36.814
-0.03,23-08-2023 13:47:37.003
0.03,23-08-2023 13:47:37.201
0,23-08-2023 13:47:37.356
-0.02,23-08-2023 13:47:37.579
-0.26,23-08-2023 13:47:37.734
-0.05,23-08-2023 13:47:37.917
-0.06,23-08-2023 13:47:38.099
-0.06,23-08-2023 13:47:38.287
0.08,23-08-2023 13:47:38.482
0.02,23-08-2023 13:47:38.645
0.22,23-08-2023 13:47:39.182
-0.09,23-08-2023 13:47:39.183
-0.07,23-08-2023 13:47:39.211
-0.03,23-08-2023 13:47:39.387
-0.04,23-08-2023 13:47:39.566
0.21,23-08-2023 13:47:39.762
-0.3,23-08-2023 13:47:39.927
-0.22,23-08-2023 13:47:40.115
0.16,23-08-2023 13:47:40.301
0.16,23-08-2023 13:47:40.478
-0.1,23-08-2023 13:47:40.662
-0.07,23-08-2023 13:47:40.843
0.19,23-08-2023 13:47:41.127
-0.34,23-08-2023 13:47:41.210
-0.76,23-08-2023 13:47:41.402
-0.1,23-08-2023 13:47:41.574
0.19,23-08-2023 13:47:41.777
0.18,23-08-2023 13:47:41.947
-0.07,23-08-2023 13:47:42.133
-0.23,23-08-2023 13:47:42.315
0.11,23-08-2023 13:47:42.497
0.12,23-08-2023 13:47:42.673
-0.4,23-08-2023 13:47:42.875
-0.42,23-08-2023 13:47:43.056
0.22,23-08-2023 13:47:43.228
0.11,23-08-2023 13:47:43.413
-0.35,23-08-2023 13:47:43.600
0.09,23-08-2023 13:47:43.914
-0.02,23-08-2023 13:47:43.994
-0.44,23-08-2023 13:47:44.143
-0.85,23-08-2023 13:47:44.329
0.31,23-08-2023 13:47:44.511
0.29,23-08-2023 13:47:44.697
0,23-08-2023 13:47:44.889
-0.19,23-08-2023 13:47:45.066
-0.01,23-08-2023 13:47:45.244
-0.32,23-08-2023 13:47:45.430
-0.48,23-08-2023 13:47:45.614
-0.14,23-08-2023 13:47:45.796
0.15,23-08-2023 13:47:45.981
0.11,23-08-2023 13:47:46.157
-0.06,23-08-2023 13:47:46.353
-0.02,23-08-2023 13:47:47.274
0.01,23-08-2023 13:47:47.275
-0.42,23-08-2023 13:47:47.275
-0.18,23-08-2023 13:47:47.275
0.23,23-08-2023 13:47:47.275
0.03,23-08-2023 13:47:47.579
-0.29,23-08-2023 13:47:47.630
-0.09,23-08-2023 13:47:47.823
0.09,23-08-2023 13:47:48.003
-0.13,23-08-2023 13:47:48.172
-0.1,23-08-2023 13:47:48.359
0.09,23-08-2023 13:47:48.836
-0.09,23-08-2023 13:47:48.838
-0.24,23-08-2023 13:47:48.912
-0.21,23-08-2023 13:47:49.103
-0.24,23-08-2023 13:47:49.280
-0.09,23-08-2023 13:47:49.463
0.12,23-08-2023 13:47:49.644
0.05,23-08-2023 13:47:49.834
-0.17,23-08-2023 13:47:50.240
0.01,23-08-2023 13:47:51.599
-0.09,23-08-2023 13:47:51.600
-0.12,23-08-2023 13:47:51.600
-0.18,23-08-2023 13:47:51.600
-0.16,23-08-2023 13:47:51.601
-0.25,23-08-2023 13:47:51.602
-0.11,23-08-2023 13:47:52.080
-0.14,23-08-2023 13:47:52.080
