x,y,z,Date
0.71,2.93,332.30,23-08-2023 13:52:53.018
0.79,2.52,332.60,23-08-2023 13:52:53.469
1.20,1.88,332.88,23-08-2023 13:52:53.469
1.53,1.21,333.07,23-08-2023 13:52:53.569
1.32,1.32,333.19,23-08-2023 13:52:53.978
0.83,2.34,333.35,23-08-2023 13:52:53.980
0.52,3.02,333.62,23-08-2023 13:52:54.117
0.47,2.56,333.90,23-08-2023 13:52:54.297
0.66,1.71,334.16,23-08-2023 13:52:54.494
1.20,1.22,334.35,23-08-2023 13:52:54.684
1.55,1.32,334.39,23-08-2023 13:52:55.108
1.22,2.05,334.40,23-08-2023 13:52:55.108
0.80,2.88,334.61,23-08-2023 13:52:55.217
0.81,3.24,334.85,23-08-2023 13:52:55.401
1.08,2.46,335.00,23-08-2023 13:52:55.568
1.15,1.18,335.09,23-08-2023 13:52:55.787
1.21,0.92,335.09,23-08-2023 13:52:55.938
1.35,1.80,334.97,23-08-2023 13:52:56.119
1.04,2.38,334.92,23-08-2023 13:52:56.313
0.56,2.83,335.04,23-08-2023 13:52:56.500
0.65,2.77,335.12,23-08-2023 13:52:56.676
1.08,2.08,335.14,23-08-2023 13:52:56.872
1.16,1.68,335.13,23-08-2023 13:52:57.036
0.96,1.90,335.05,23-08-2023 13:52:57.241
1.00,2.23,334.90,23-08-2023 13:52:57.417
1.14,2.31,334.81,23-08-2023 13:52:58.516
0.90,2.49,334.80,23-08-2023 13:52:58.517
0.87,2.95,334.72,23-08-2023 13:52:58.859
1.25,2.64,334.56,23-08-2023 13:52:58.860
1.27,1.70,334.40,23-08-2023 13:52:58.901
0.92,1.62,334.25,23-08-2023 13:52:58.936
0.73,2.30,334.10,23-08-2023 13:52:59.102
0.71,2.67,333.94,23-08-2023 13:52:59.224
0.89,2.14,333.80,23-08-2023 13:52:59.380
1.21,1.52,333.61,23-08-2023 13:52:59.541
1.31,1.67,333.35,23-08-2023 13:52:59.726
1.20,2.21,333.05,23-08-2023 13:52:59.945
1.09,2.55,332.83,23-08-2023 13:53:00.061
0.89,2.97,332.79,23-08-2023 13:53:00.145
0.79,3.71,332.74,23-08-2023 13:53:00.224
1.10,3.51,332.69,23-08-2023 13:53:00.348
1.48,1.45,332.53,23-08-2023 13:53:00.528
1.29,0.50,332.25,23-08-2023 13:53:00.714
1.00,1.69,331.91,23-08-2023 13:53:00.904
0.99,2.39,331.62,23-08-2023 13:53:01.065
0.99,2.30,331.46,23-08-2023 13:53:01.262
0.91,2.52,331.30,23-08-2023 13:53:01.558
1.09,2.22,331.08,23-08-2023 13:53:01.694
1.17,1.60,330.81,23-08-2023 13:53:01.810
0.84,2.53,330.63,23-08-2023 13:53:01.992
0.73,3.83,330.54,23-08-2023 13:53:02.203
0.97,3.45,330.46,23-08-2023 13:53:02.363
1.14,2.20,330.38,23-08-2023 13:53:02.546
1.21,1.86,330.29,23-08-2023 13:53:02.732
1.33,1.78,330.10,23-08-2023 13:53:02.920
1.37,1.63,329.81,23-08-2023 13:53:03.093
1.06,2.14,329.57,23-08-2023 13:53:03.405
0.78,2.29,329.40,23-08-2023 13:53:03.453
0.84,2.54,329.33,23-08-2023 13:53:03.657
0.89,2.58,329.22,23-08-2023 13:53:03.849
1.09,1.85,329.04,23-08-2023 13:53:04.024
1.39,1.93,328.87,23-08-2023 13:53:04.201
1.11,3.23,328.78,23-08-2023 13:53:04.390
0.59,3.22,328.68,23-08-2023 13:53:04.561
0.63,2.09,328.61,23-08-2023 13:53:04.748
1.13,1.99,328.50,23-08-2023 13:53:04.942
1.51,2.33,328.33,23-08-2023 13:53:05.111
1.63,1.72,328.11,23-08-2023 13:53:05.310
1.42,1.24,327.87,23-08-2023 13:53:05.469
1.01,2.42,327.70,23-08-2023 13:53:05.665
0.78,3.37,327.60,23-08-2023 13:53:05.849
0.84,2.89,327.49,23-08-2023 13:53:06.032
0.87,2.27,327.39,23-08-2023 13:53:06.214
1.09,2.35,327.21,23-08-2023 13:53:06.398
1.35,2.41,327.06,23-08-2023 13:53:06.587
1.06,2.39,326.97,23-08-2023 13:53:06.763
0.71,2.31,326.89,23-08-2023 13:53:06.947
0.83,1.97,326.87,23-08-2023 13:53:07.193
1.29,1.63,326.86,23-08-2023 13:53:07.305
1.51,1.85,326.74,23-08-2023 13:53:07.482
1.34,2.50,326.60,23-08-2023 13:53:07.684
1.06,2.75,326.57,23-08-2023 13:53:07.867
0.85,2.38,326.59,23-08-2023 13:53:08.044
0.66,2.21,326.61,23-08-2023 13:53:08.239
0.67,2.52,326.64,23-08-2023 13:53:08.420
1.04,2.36,326.62,23-08-2023 13:53:08.721
1.46,1.74,326.56,23-08-2023 13:53:08.776
1.52,1.68,326.52,23-08-2023 13:53:08.982
1.33,2.34,326.45,23-08-2023 13:53:09.149
1.18,2.81,326.42,23-08-2023 13:53:09.350
1.03,2.51,326.51,23-08-2023 13:53:09.513
1.07,1.68,326.63,23-08-2023 13:53:09.685
1.34,1.50,326.64,23-08-2023 13:53:09.880
1.41,1.85,326.65,23-08-2023 13:53:10.069
0.99,2.10,326.78,23-08-2023 13:53:10.252
0.56,2.51,327.00,23-08-2023 13:53:10.443
0.68,2.45,327.22,23-08-2023 13:53:10.605
