x,y,z,Date
0.76,3.05,350.95,23-08-2023 13:47:44.511
0.81,2.57,351.38,23-08-2023 13:47:44.698
1.08,1.11,351.88,23-08-2023 13:47:44.889
1.16,1.11,352.46,23-08-2023 13:47:45.067
1.12,1.89,353.10,23-08-2023 13:47:45.244
1.15,2.20,353.85,23-08-2023 13:47:45.430
1.03,2.54,354.64,23-08-2023 13:47:45.614
0.82,3.22,355.46,23-08-2023 13:47:45.796
0.85,3.00,356.31,23-08-2023 13:47:45.981
1.07,2.12,357.16,23-08-2023 13:47:46.158
1.25,1.86,357.96,23-08-2023 13:47:46.354
1.19,1.89,358.80,23-08-2023 13:47:47.274
1.15,1.32,359.55,23-08-2023 13:47:47.274
1.26,1.37,0.17,23-08-2023 13:47:47.274
1.11,2.47,0.84,23-08-2023 13:47:47.275
0.90,2.84,1.59,23-08-2023 13:47:47.275
0.97,2.05,2.27,23-08-2023 13:47:47.579
1.09,1.77,2.93,23-08-2023 13:47:47.630
0.92,2.26,3.61,23-08-2023 13:47:47.824
0.83,2.11,4.18,23-08-2023 13:47:48.013
1.05,2.28,4.62,23-08-2023 13:47:48.172
1.11,2.85,5.04,23-08-2023 13:47:48.359
0.99,2.21,5.44,23-08-2023 13:47:48.837
1.05,1.22,5.80,23-08-2023 13:47:48.838
1.18,1.74,6.16,23-08-2023 13:47:48.900
1.24,2.41,6.42,23-08-2023 13:47:49.103
1.14,2.10,6.62,23-08-2023 13:47:49.280
0.87,2.80,6.94,23-08-2023 13:47:49.464
0.82,3.65,7.23,23-08-2023 13:47:49.645
1.14,2.54,7.36,23-08-2023 13:47:49.834
1.30,1.35,7.45,23-08-2023 13:47:50.240
1.22,1.28,7.56,23-08-2023 13:47:51.599
1.25,1.80,7.56,23-08-2023 13:47:51.600
1.25,2.08,7.52,23-08-2023 13:47:51.600
1.11,1.81,7.48,23-08-2023 13:47:51.600
0.95,1.85,7.50,23-08-2023 13:47:51.600
0.91,2.44,7.48,23-08-2023 13:47:51.601
0.89,3.02,7.44,23-08-2023 13:47:52.079
0.89,2.90,7.40,23-08-2023 13:47:52.080
0.80,2.55,7.39,23-08-2023 13:47:52.080
0.88,2.80,7.44,23-08-2023 13:47:52.080
1.28,2.67,7.45,23-08-2023 13:47:52.081
1.59,1.73,7.34,23-08-2023 13:47:52.398
1.43,1.99,7.23,23-08-2023 13:47:53.935
1.07,2.35,7.19,23-08-2023 13:47:53.935
0.99,1.21,7.16,23-08-2023 13:47:53.936
1.04,0.91,7.14,23-08-2023 13:47:53.936
0.79,2.29,7.27,23-08-2023 13:47:53.936
0.81,2.28,7.44,23-08-2023 13:47:53.936
1.16,1.82,7.52,23-08-2023 13:47:53.937
1.34,3.13,7.59,23-08-2023 13:47:53.937
1.26,3.91,7.70,23-08-2023 13:47:53.937
1.21,2.11,7.82,23-08-2023 13:47:54.056
1.11,1.00,7.93,23-08-2023 13:47:54.240
1.06,2.13,8.01,23-08-2023 13:47:54.428
0.87,3.01,8.12,23-08-2023 13:47:54.597
0.66,2.15,8.28,23-08-2023 13:47:54.806
0.88,1.53,8.50,23-08-2023 13:47:55.155
1.20,2.45,8.71,23-08-2023 13:47:55.156
1.32,3.06,8.89,23-08-2023 13:47:55.346
1.42,1.95,9.10,23-08-2023 13:47:55.525
1.28,1.48,9.39,23-08-2023 13:47:55.706
1.02,2.31,9.73,23-08-2023 13:47:55.891
1.05,2.02,9.99,23-08-2023 13:47:56.060
1.16,1.30,10.20,23-08-2023 13:47:56.406
1.16,1.56,10.41,23-08-2023 13:47:56.442
1.11,1.77,10.54,23-08-2023 13:47:56.616
1.03,2.07,10.72,23-08-2023 13:47:56.798
0.88,3.80,11.02,23-08-2023 13:47:56.996
0.83,4.11,11.37,23-08-2023 13:47:57.156
1.01,1.85,11.64,23-08-2023 13:47:57.347
1.22,1.43,11.88,23-08-2023 13:47:57.534
1.21,3.24,12.14,23-08-2023 13:47:57.818
1.26,3.09,12.30,23-08-2023 13:47:57.889
1.31,1.06,12.47,23-08-2023 13:47:58.080
