accelZ,Date
-0.07,22-08-2023 14:14:01.170
-0.03,22-08-2023 14:14:01.355
1.22,22-08-2023 14:14:01.534
-0.01,22-08-2023 14:14:01.721
0.06,22-08-2023 14:14:01.923
-0.01,22-08-2023 14:14:02.087
-0.05,22-08-2023 14:14:02.266
-0.03,22-08-2023 14:14:02.463
-0.02,22-08-2023 14:14:02.646
-0.01,22-08-2023 14:14:02.818
-0.02,22-08-2023 14:14:02.999
-0.03,22-08-2023 14:14:03.183
-0.02,22-08-2023 14:14:03.371
-0.04,22-08-2023 14:14:03.554
-0.02,22-08-2023 14:14:03.754
-0.02,22-08-2023 14:14:03.918
-0.02,22-08-2023 14:14:04.104
-0.02,22-08-2023 14:14:04.282
-0.02,22-08-2023 14:14:04.465
-0.03,22-08-2023 14:14:04.651
-0.01,22-08-2023 14:14:04.842
-0.03,22-08-2023 14:14:05.020
-0.03,22-08-2023 14:14:05.201
-0.02,22-08-2023 14:14:05.384
-0.01,22-08-2023 14:14:05.565
-0.03,22-08-2023 14:14:05.754
-0.03,22-08-2023 14:14:05.934
-0.03,22-08-2023 14:14:06.115
-0.02,22-08-2023 14:14:06.306
-0.02,22-08-2023 14:14:06.486
-0.02,22-08-2023 14:14:06.668
-0.02,22-08-2023 14:14:06.854
-0.02,22-08-2023 14:14:07.031
-0.03,22-08-2023 14:14:07.218
-0.03,22-08-2023 14:14:07.406
-0.02,22-08-2023 14:14:07.582
-0.41,22-08-2023 14:14:07.765
1,22-08-2023 14:14:07.950
-13.26,22-08-2023 14:14:08.137
3.58,22-08-2023 14:14:08.318
2.79,22-08-2023 14:14:08.503
1.1,22-08-2023 14:14:08.686
0.29,22-08-2023 14:14:08.866
-0.59,22-08-2023 14:14:09.245
0.4,22-08-2023 14:14:09.317
-0.19,22-08-2023 14:14:09.507
-0.04,22-08-2023 14:14:09.686
0.22,22-08-2023 14:14:09.867
-0.2,22-08-2023 14:14:10.047
0.13,22-08-2023 14:19:22.205
0.07,22-08-2023 14:19:22.207
-0.21,22-08-2023 14:19:22.358
-0.06,22-08-2023 14:19:22.542
-0.18,22-08-2023 14:19:22.736
-0.1,22-08-2023 14:19:22.914
-0.13,22-08-2023 14:19:23.098
0.04,22-08-2023 14:19:23.279
-0.1,22-08-2023 14:19:23.467
-0.17,22-08-2023 14:19:23.643
-0.19,22-08-2023 14:19:23.828
0.11,22-08-2023 14:19:24.014
-0.14,22-08-2023 14:19:24.193
-0.08,22-08-2023 14:19:24.377
-0.06,22-08-2023 14:19:24.563
-0.16,22-08-2023 14:19:24.740
-0.04,22-08-2023 14:19:24.924
-0.02,22-08-2023 14:19:25.156
-0.05,22-08-2023 14:19:25.292
-0.03,22-08-2023 14:20:46.364
-0.03,22-08-2023 14:20:46.367
-0.02,22-08-2023 14:20:46.530
-0.03,22-08-2023 14:20:46.715
-0.01,22-08-2023 14:20:46.902
-0.02,22-08-2023 14:20:47.084
-0.03,22-08-2023 14:20:47.265
0,22-08-2023 14:20:47.450
-0.04,22-08-2023 14:20:47.631
0,22-08-2023 14:20:47.818
-0.02,22-08-2023 14:20:48.003
-0.05,22-08-2023 14:20:48.185
-0.03,22-08-2023 14:20:48.370
-0.05,22-08-2023 14:20:48.552
-0.06,22-08-2023 14:20:48.737
-0.02,22-08-2023 14:20:48.917
-0.04,22-08-2023 14:20:49.103
0.01,22-08-2023 14:20:49.283
-0.02,22-08-2023 14:20:49.470
-0.02,22-08-2023 14:20:49.653
-0.1,22-08-2023 14:20:49.831
-0.08,22-08-2023 14:20:50.020
0,22-08-2023 14:20:50.199
-0.04,22-08-2023 14:20:50.396
0.02,22-08-2023 14:20:50.575
0.29,22-08-2023 14:20:50.748
-0.1,22-08-2023 14:20:50.933
-0.09,22-08-2023 14:20:51.124
-0.05,22-08-2023 14:20:51.298
-0.04,22-08-2023 14:20:51.482
-0.02,22-08-2023 14:20:51.663
-0.16,22-08-2023 14:20:51.850
0.05,22-08-2023 14:20:52.034
0.08,22-08-2023 14:20:52.214
-0.14,22-08-2023 14:20:52.400
-0.01,22-08-2023 14:20:52.589
-0.03,22-08-2023 14:20:52.770
-0.25,22-08-2023 14:20:52.948
0.09,22-08-2023 14:20:53.135
0.04,22-08-2023 14:20:53.423
-0.03,22-08-2023 14:20:53.499
-0.13,22-08-2023 14:20:53.684
-0.02,22-08-2023 14:20:53.874
-0.01,22-08-2023 14:20:54.049
-0.11,22-08-2023 14:20:54.236
-0.03,22-08-2023 14:20:54.417
-0.03,22-08-2023 14:20:54.602
-0.05,22-08-2023 14:20:54.782
-0.04,22-08-2023 14:20:54.969
-0.01,22-08-2023 14:20:55.149
-0.1,22-08-2023 14:20:55.337
0,22-08-2023 14:20:55.521
-0.12,22-08-2023 14:20:55.704
0.01,22-08-2023 14:20:55.884
