accelZ,Date
-0.01,21-08-2023 20:50:36.305
-0.04,21-08-2023 20:50:36.471
-0.01,21-08-2023 20:50:36.640
-0.01,21-08-2023 20:50:36.822
0.03,21-08-2023 20:50:37.002
2.13,21-08-2023 20:50:37.187
-0.11,21-08-2023 20:50:37.368
-3.24,21-08-2023 20:50:37.562
-0.13,21-08-2023 20:50:37.735
-12.9,21-08-2023 20:50:37.921
-1.04,21-08-2023 20:50:38.106
-22.6,21-08-2023 20:50:38.285
-6.4,21-08-2023 20:50:38.468
-0.04,21-08-2023 20:50:38.656
4.28,21-08-2023 20:50:38.835
0.52,21-08-2023 20:50:39.021
5.52,21-08-2023 20:50:39.202
0.78,21-08-2023 20:50:39.386
-2.74,21-08-2023 20:50:39.574
2.02,21-08-2023 20:50:39.755
11.34,21-08-2023 20:50:39.937
-6.68,21-08-2023 20:50:40.119
-0.2,21-08-2023 20:50:40.306
9.71,21-08-2023 20:50:40.487
-0.03,21-08-2023 20:50:40.674
0.16,21-08-2023 20:50:40.851
0.25,21-08-2023 20:50:41.034
0.86,21-08-2023 20:50:41.224
-0.74,21-08-2023 20:50:41.405
-0.43,21-08-2023 20:50:41.586
0.17,21-08-2023 20:50:41.771
0.15,21-08-2023 20:50:41.956
0.26,21-08-2023 20:50:42.139
0.01,21-08-2023 20:50:42.319
-0.03,21-08-2023 20:50:42.499
-0.01,21-08-2023 20:50:42.686
-0.01,21-08-2023 20:50:42.872
-0.02,21-08-2023 20:50:43.053
-0.02,21-08-2023 20:50:43.244
-0.02,21-08-2023 20:50:43.421
-5.59,21-08-2023 20:50:43.604
-3.09,21-08-2023 20:50:43.814
9.61,21-08-2023 20:50:43.971
1.76,21-08-2023 20:50:44.150
-15.5,21-08-2023 20:50:44.334
0.46,21-08-2023 20:50:44.516
8.52,21-08-2023 20:50:44.702
-7.93,21-08-2023 20:50:44.889
2.56,21-08-2023 20:50:45.086
8.26,21-08-2023 20:50:45.248
1.7,21-08-2023 20:50:45.434
-3.95,21-08-2023 20:50:45.625
0.07,21-08-2023 20:50:45.801
-0.08,21-08-2023 20:50:45.992
0,21-08-2023 20:50:46.167
-0.04,21-08-2023 20:50:46.368
-0.01,21-08-2023 20:50:46.538
-0.03,21-08-2023 20:50:46.719
-0.01,21-08-2023 20:50:46.901
-0.05,21-08-2023 20:50:47.086
-0.02,21-08-2023 20:50:47.288
-0.05,21-08-2023 20:50:47.449
-0.02,21-08-2023 20:50:47.642
-0.06,21-08-2023 20:50:47.817
-0.02,21-08-2023 20:50:48.006
-0.04,21-08-2023 20:50:48.188
-0.02,21-08-2023 20:50:48.366
0.08,21-08-2023 20:50:48.747
-0.04,21-08-2023 20:50:48.953
-0.02,21-08-2023 20:50:49.414
-0.02,21-08-2023 20:50:49.415
-0.02,21-08-2023 20:50:49.551
0.1,21-08-2023 20:50:49.739
-0.04,21-08-2023 20:50:49.920
-0.46,21-08-2023 20:50:50.226
