accelZ,Date
-0.31,23-08-2023 13:52:33.823
-0.17,23-08-2023 13:52:33.824
-0.14,23-08-2023 13:52:33.824
0.03,23-08-2023 13:52:33.824
-0.02,23-08-2023 13:52:33.824
-0.04,23-08-2023 13:52:33.898
-0.39,23-08-2023 13:52:33.899
-0.15,23-08-2023 13:52:33.899
-0.06,23-08-2023 13:52:33.899
0.08,23-08-2023 13:52:33.900
0.2,23-08-2023 13:52:33.900
0.03,23-08-2023 13:52:33.900
-0.32,23-08-2023 13:52:33.900
0.03,23-08-2023 13:52:33.900
0.09,23-08-2023 13:52:33.935
-0.05,23-08-2023 13:52:34.130
0.41,23-08-2023 13:52:34.325
-0.12,23-08-2023 13:52:34.514
-0.03,23-08-2023 13:52:34.684
-0.28,23-08-2023 13:52:34.865
-0.68,23-08-2023 13:52:35.045
0.09,23-08-2023 13:52:35.237
0.46,23-08-2023 13:52:35.414
-0.36,23-08-2023 13:52:35.603
-0.14,23-08-2023 13:52:35.777
0.46,23-08-2023 13:52:35.957
-0.07,23-08-2023 13:52:36.135
-0.66,23-08-2023 13:52:36.322
-0.22,23-08-2023 13:52:36.513
0.14,23-08-2023 13:52:37.295
-0.2,23-08-2023 13:52:37.296
-0.12,23-08-2023 13:52:37.296
0.24,23-08-2023 13:52:37.296
0,23-08-2023 13:52:37.439
-0.37,23-08-2023 13:52:37.608
-0.2,23-08-2023 13:52:37.801
0.21,23-08-2023 13:52:37.981
0.23,23-08-2023 13:52:38.160
-0.42,23-08-2023 13:52:38.346
-0.27,23-08-2023 13:52:38.530
0.11,23-08-2023 13:52:39.034
-0.07,23-08-2023 13:52:39.036
0,23-08-2023 13:52:39.068
0.46,23-08-2023 13:52:39.263
0.42,23-08-2023 13:52:39.449
-0.13,23-08-2023 13:52:39.632
-0.21,23-08-2023 13:52:39.820
0.06,23-08-2023 13:52:40.011
-0.24,23-08-2023 13:52:40.175
-0.36,23-08-2023 13:52:40.366
0.17,23-08-2023 13:52:40.556
0.53,23-08-2023 13:52:40.729
0.01,23-08-2023 13:52:40.924
-0.79,23-08-2023 13:52:41.095
-0.11,23-08-2023 13:52:41.290
0.34,23-08-2023 13:52:41.455
-0.24,23-08-2023 13:52:41.646
0.1,23-08-2023 13:52:41.845
-0.01,23-08-2023 13:52:42.313
0.14,23-08-2023 13:52:42.313
-0.64,23-08-2023 13:52:42.717
-0.29,23-08-2023 13:52:42.718
-0.03,23-08-2023 13:52:42.801
-0.1,23-08-2023 13:52:42.927
-0.19,23-08-2023 13:52:43.121
-0.13,23-08-2023 13:52:43.307
-0.02,23-08-2023 13:52:43.483
-0.22,23-08-2023 13:52:43.663
-0.06,23-08-2023 13:52:43.845
-0.23,23-08-2023 13:52:44.049
0.04,23-08-2023 13:52:44.247
0.27,23-08-2023 13:52:44.707
-0.14,23-08-2023 13:52:44.708
-0.25,23-08-2023 13:52:44.752
-0.23,23-08-2023 13:52:44.932
0.04,23-08-2023 13:52:45.127
0.07,23-08-2023 13:52:45.332
-0.09,23-08-2023 13:52:45.485
0.11,23-08-2023 13:52:45.679
0.07,23-08-2023 13:52:45.858
-0.08,23-08-2023 13:52:46.050
-0.31,23-08-2023 13:52:46.226
-0.2,23-08-2023 13:52:46.418
0.06,23-08-2023 13:52:46.589
0.11,23-08-2023 13:52:46.788
-0.14,23-08-2023 13:52:46.965
0.15,23-08-2023 13:52:47.152
-0.07,23-08-2023 13:52:47.352
-1.11,23-08-2023 13:52:47.522
-0.46,23-08-2023 13:52:47.935
0.17,23-08-2023 13:52:47.936
0.07,23-08-2023 13:52:48.090
-0.09,23-08-2023 13:52:48.253
-0.16,23-08-2023 13:52:48.422
-0.23,23-08-2023 13:52:48.613
-0.03,23-08-2023 13:52:48.810
-0.13,23-08-2023 13:52:48.989
0.33,23-08-2023 13:52:49.172
0.1,23-08-2023 13:52:49.350
0,23-08-2023 13:52:49.885
-0.25,23-08-2023 13:52:49.886
-0.26,23-08-2023 13:52:49.888
-0.54,23-08-2023 13:52:50.081
-0.25,23-08-2023 13:52:50.267
0.11,23-08-2023 13:52:50.450
0.2,23-08-2023 13:52:50.630
-0.17,23-08-2023 13:52:50.833
-0.34,23-08-2023 13:52:50.999
0.09,23-08-2023 13:52:51.191
0.06,23-08-2023 13:52:51.373
-0.26,23-08-2023 13:52:51.548
-0.31,23-08-2023 13:52:51.736
0.02,23-08-2023 13:52:51.934
0.24,23-08-2023 13:52:52.086
-0.01,23-08-2023 13:52:52.282
-0.27,23-08-2023 13:52:52.468
-0.19,23-08-2023 13:52:52.652
-0.08,23-08-2023 13:52:52.821
-0.08,23-08-2023 13:52:53.018
0.3,23-08-2023 13:52:53.468
